"response","predictor","estimate","stderr","zvalue","pvalue","alpha","p_adjust_BH","p_adjust_bonf"
"nutritional_mode","Seedborne",NA,NA,NA,NA,NA,NA,NA
"Insectborne","Seedborne",0.504752419930765,0.38650643071316,1.30593537344107,0.191574535931091,90.2502059056062,0.344834164675963,1
"T3SS","Seedborne",-0.338959675166427,0.297179559044844,-1.14058879505665,0.254041082253576,0.706431294041429,0.402728940680965,1
"diverse","Seedborne",NA,NA,NA,NA,NA,NA,NA
"Host_cotyledon","Seedborne",NA,NA,NA,NA,NA,NA,NA
"life_style","Seedborne",NA,NA,NA,NA,NA,NA,NA
"T6SS","Seedborne",0.305401597440237,0.284822224662369,1.07225339526177,0.283606233406598,4.53379408226557,0.408392976105501,1
"T2SS","Seedborne",NA,NA,NA,NA,NA,NA,NA
"genome","Seedborne",NA,NA,NA,NA,NA,NA,NA
"Seedborne","nutritional_mode",-0.363489047709971,0.335981114046391,-1.08187345214821,0.279308762737101,90.361374820709,0.408392976105501,1
"Insectborne","nutritional_mode",1.17634121527977,0.721487484722276,1.63043883669386,0.103008782159952,1.69049566987571,0.276683322778262,1
"T3SS","nutritional_mode",0.194640759676518,0.297853228542218,0.653478764118651,0.513447675465715,2.14101623400434,0.57762863489893,1
"diverse","nutritional_mode",NA,NA,NA,NA,NA,NA,NA
"Host_cotyledon","nutritional_mode",NA,NA,NA,NA,NA,NA,NA
"life_style","nutritional_mode",NA,NA,NA,NA,NA,NA,NA
"T6SS","nutritional_mode",-0.126037795950123,0.25299595035476,-0.49818108065915,0.618356416184411,11.6723088093431,0.654730323018788,1
"T2SS","nutritional_mode",NA,NA,NA,NA,NA,NA,NA
"genome","nutritional_mode",NA,NA,NA,NA,NA,NA,NA
"Seedborne","Insectborne",0.746456416573611,0.409663305152573,1.82212174530888,0.0684365149270124,91.3899892273936,0.256650052457899,1
"nutritional_mode","Insectborne",NA,NA,NA,NA,NA,NA,NA
"T3SS","Insectborne",0.17880690628832,0.223074805417029,0.801555809738565,0.422809948388414,2.08781386709436,0.524867522137342,1
"diverse","Insectborne",NA,NA,NA,NA,NA,NA,NA
"Host_cotyledon","Insectborne",NA,NA,NA,NA,NA,NA,NA
"life_style","Insectborne",NA,NA,NA,NA,NA,NA,NA
"T6SS","Insectborne",-0.41195803198083,0.294612112057297,-1.39830650241804,0.16202104607401,6.09892665555742,0.32404209214802,1
"T2SS","Insectborne",NA,NA,NA,NA,NA,NA,NA
"genome","Insectborne",NA,NA,NA,NA,NA,NA,NA
"Seedborne","T3SS",-1.31210030651347,0.803121999482972,-1.63374967608678,0.10231142297662,4.05558706124545,0.276683322778262,1
"nutritional_mode","T3SS",NA,NA,NA,NA,NA,NA,NA
"Insectborne","T3SS",-1.56606672541544,0.574786439275825,-2.72460625095562,0.00643782123677316,91.0837269402927,0.0774416810223521,0.231761564523834
